Lemur catta	ワオキツネザル
Lepilemur mustelinus	イタチキツネザル
Varecia variegata	エリマキキツネザル
Cheirogaleus medius	コビトキツネザル科
Otolemur crassicaudatus	オオガラゴ
Galago senegalensis	ショウガラゴ
Loris tardigradus	ホソロリス
Nycticebus coucang	スローロリス
Perodicticus potto	ポットー
Tarsius syrichta	フィリピンメガネザル
Callithrix argentata	シルバーマーモセット
Callithrix jacchus	コモンマーモセット
Saguinus fuscicollis	セマダラタマリン
Saguinus mystax	クチヒゲタマリン
Saguinus nigricollis	クロクビタマリン
Saguinus oedipus	ワタボウシタマリン
Saguinus imperator	エンペラータマリン
Callithrix pygmaea	ピグミーマーモセット
Callimico goeldii	ゲルディマーモセット
Alouatta caraya	クロホエザル
Alouatta seniculus	アカホエザル
Aotus trivirgatus	ヨザル
Ateles belzebuth	ケナガクモザル
Ateles fusciceps	ブラウンクモザル
Ateles geoffroyi	アカクモザル
Ateles paniscus	クロクモザル
Cebus albifrons	シロガオオマキザル
Cebus apella	フサオマキザル
Cebus capucinus	ノドジロオマキザル
Cebus sp.	オマキザル属
Lagothrix lagotricha	コモンウーリーモンキー
Saimiri sciureus	リスザル
Callicebus moloch	ダスキーティティ
Cercocebus torquatus	シロエリマンガベイ
Cercocebus galeritus	アジルマンガベイ
Chlorocebus aethiops	サバンナザル
Cercopithecus cephus	クチヒゲグエノン
Erythrocebus patas	パタスモンキー
Macaca arctoides	ベニガオザル
Macaca fascicularis	カニクイザル
Macaca fuscata	ニホンザル
Macaca mulatta	アカゲザル
Macaca nemestrina	ブタオザル
Macaca sylvanus	バーバリーマカク
Macaca radiata	ボンネットモンキー
Macaca assamensis	アッサムモンキー
Macaca sinica	トクモンキー
Papio anubis	アヌビスヒヒ
Papio cynocephalus	キイロヒヒ
Papio hamadryas	マントヒヒ
Mandrillus sphinx	マンドリル
Theropithecus gelada	ゲラダヒヒ
Mandrillus leucophaeus	ドリル
Colobus polykomos	キングコロブス
Hylobates agilis	アジルテナガザル
Hylobates lar	シロテテナガザル
Hylobates sp.	テナガザル属
Hylobates klossii	クロステナガザル
Hylobates pileatus	ボウシテナガザル
Symphalangus syndactylus	フクロテナガザル
Gorilla gorilla	ゴリラ
Pan paniscus	ボノボ
Pan troglodytes	チンパンジー
Pongo pygmaeus	オランウータン
Homo sapiens	ヒト
Eulemur fulvus	チャイロキツネザル
Saimiri boliviensis	ボリビアリスザル
Nomascus concolor	クロテナガザル属
Saguinus midas	ブラックタマリン
Leontopithecus rosalia	ゴールデンライオンタマリン
Alouatta palliata	マントホエザル
Aotus azarai	Azara's night monkey
Brachyteles arachnoides	ウーリークモザル（ムリキ）
Microcebus murinus	ハイイロネズミキツネザル
Galago moholi	ガラゴ属
Otolemur garnettii	オオガラゴの一種
Tarsius sp.	メガネザル属
Daubentonia madagascariensis	アイアイ
Colobus guereza	アビシニアコロブス
Presbytis francoisi	フランソワリーフモンキー
Colobus sp.	コロブス属
Propithecus verreauxi	ベローシファカ
Eulemur mongoz	キツネザル科
Eulemur rubriventer	キツネザル科
Cercopithecus ascanius	アカオザル
Cercopithecus diana	ダイアナモンキー
Cercopithecus mitis	ブルーモンキー
Cercopithecus mona	モナモンキー
Cercopithecus neglectus	ブラッザモンキー
Cercopithecus nictitans	オオハナジログエノン
Papio ursinus	チャクマヒヒ
Miopithecus talapoin	コビトグエノン（タラポワン、タラポイン）
Presbytis cristata	シルバールトン
Aotus nancymaae	Ma's night monkey
Propithecus sp.	シファカ属
Macaca tonkeana	トンケアンモンキー
Pithecia pithecia	シロガオサキ
Cheirogaleus major	コビトキツネザル科
Callithrix geoffroyi	ジョフロワマーモセット
Pygathrix nemaeus	ドゥクラングール
Macaca nigra	クロザル
Macaca silenus	シシオザル
Macaca thibetana	チベットモンキー
Aotus nigriceps	オマキザル科
Leontopithecus chrysomelas	ドウグロタマリン
Callithrix penicillata	クロミミマーモセット
Chlorocebus sabaeus	サバンナモンキーの一種
Papio sp.	ヒヒ属
Pygathrix bieti	クロキンシコウ
Pygathrix roxellana	キンシコウ
Bunopithecus hoolock	フーロックテナガザル
Nomascus leucogenys	クロテナガザル属
Macaca cyclopis	タイワンザル
Presbytis melalophos	クロカンムリリーフモンキー
Saguinus labiatus	シロクチタマリン
Lepilemur dorsalis	イタチキツネザル科
Lepilemur septentrionalis	イタチキツネザル科
Lepilemur ruficaudatus	イタチキツネザル科
Hylobates moloch	ワウワウテナガザル
Semnopithecus entellus	ハヌマンラングール
Macaca hecki	ヘックザル
Macaca ochreata	ウスイロマカク
Lepilemur leucopus	イタチキツネザル科
Cercopithecus petaurista	ショウハナジログエノン
Saguinus sp.	タマリン属
Papio papio	ギニアヒヒ
Nycticebus pygmaeus	ピグミースローロリス
Cynocephalus volans	フィリピンヒヨケザル
Lepilemur edwardsi	イタチキツネザル科
Microcebus ravelobensis	コビトキツネザル科
Microcebus rufus	コビトキツネザル科
Microcebus griseorufus	コビトキツネザル科
Lepilemur microdon	イタチキツネザル科
Trachypithecus auratus	ラングール
Cercocebus agilis	オナガザル亜科
Cercopithecus campbelli	キャンベルモンキー
Lepilemur ankaranensis	イタチキツネザル科
Procolobus verus	オリーブコロブス
Marmota marmota	アルプスマーモット
Marmota monax	ウッドチャック
Spermophilus citellus	ヨーロッパハタリス
Spermophilus parryii	ホッキョクジリス
Sciurus aberti	アーベルトリス
Tamiasciurus hudsonicus	アメリカアカリス
Thomomys bottae	セイブホリネズミ
Dipodomys californicus	カリフォルニアカンガルーネズミ
Dipodomys heermanni	ハーマンカンガルーネズミ
Dipodomys panamintinus	パナミントカンガルーネズミ
Dipodomys ordii	オルドカンガルーネズミ
Pedetes capensis	トビウサギ
Cricetulus griseus	モンゴルキヌゲネズミ
Cricetulus longicaudatus	オナガキヌゲネズミ
Cricetulus sp.	モンゴルキヌゲネズミ属
Cricetulus migratorius	タビキヌゲネズミ
Cricetus cricetus	クロハラハムスター
Mesocricetus auratus	ゴールデンハムスター
Peromyscus leucopus	シロアシマウス
Peromyscus maniculatus	シカシロアシマウス
Phodopus sungorus	ジャンガリアンハムスター
Meriones unguiculatus	モンゴリアン・ジャービル
Arvicola terrestris	ミズハタネズミ
Microtus xanthognathus	タイガハタネズミ
Microtus chrotorrhinus	キバナハタネズミ
Microtus pennsylvanicus	アメリカハタネズミ
Ondatra zibethicus	マスクラット
Acomys cahirinus	カイロトゲマウス
Akodon aerosus	エクアドルヤチマウス
Akodon andinus	アンデスヤチマウス
Akodon boliviensis	ボリビアヤチマウス
Akodon mollis	ヤワゲヤチマウス
Akodon puer	チゴヤチマウス
Bolomys amoenus	ペルーノロマウス
Cricetomys gambianus	サバンナアフリカオニネズミ
Mus caroli	オキナワハツカネズミ
Mus musculus	ハツカネズミ
Mus pahari	シッキムハツカネズミ
Mus saxicola	イシハツカネズミ
Mus sp.	マウス
Mus spretus	アルジェリアハツカネズミ
Mus cervicolor	クチバハツカネズミ
Mus cookii	クックハツカネズミ
Mus macedonicus	マケドニアハツカネズミ
Mus platythrix	ヒラゲハツカネズミ
Mus setulosus	アラゲハツカネズミ
Mus spicilegus	オーストリアハツカネズミ
Mus minutoides	コビトハツカネズミ
Mus dunni	ダンハツカネズミ
Mastomys natalensis	マストミス
Rattus leucopus	マダラオクマネズミ
Rattus norvegicus	ドブネズミ
Rattus rattus	クマネズミ
Rattus sp.	ラット
Rattus fuscipes	ヤブクマネズミ
Rattus sordidus	ウスクロクマネズミ
Rattus tunneyi	タンネイクマネズミ
Rattus villosissimus	ケナガクマネズミ
Conilurus penicillatus	フサオネズミ
Apodemus sylvaticus	モリアカネズミ
Hystrix cristata	タテガミヤマアラシ
Hystrix africaeaustralis	ケープタテガミヤマアラシ
Cavia porcellus	モルモット
Galea musteloides	クイ
Chinchilla brevicaudata	チビオチンチラ
Lagostomus maximus	ビスカーチャ
Myocastor coypus	ヌートリア
Octodon degus	デグー
Proechimys guairae	ベネズエラグイラトゲネズミ
Ctenodactylus gundi	アトラスグンディ
Thryonomys swinderianus	ヨシネズミ
Bathyergus janetta	ナマカデバネズミ
Bathyergus suillus	ケープデバネズミ
Cryptomys damarensis	ダマラタケネズミ
Cryptomys hottentotus	コツメデバネズミ
Georychus capensis	フタイロデバネズミ
Heliophobius argenteocinereus	シルバーデバネズミ
Heterocephalus glaber	ハダカデバネズミ
Petromus typicus	アフリカイワネズミ
Castor fiber	ヨーロッパビーバー
Micromys minutus	カヤネズミ
Pappogeomys bulleri	ブラーホリネズミ
Mus booduga	インドハツカネズミ
Geomys bursarius	トウブホリネズミ
Dolichotis patagonum	マーラ
Microtus agrestis	キタハタネズミ
Akodon azarae	アザラヤチマウス
Abrothrix olivaceus	オリーブクサマウス
Akodon orophilus	アマゾンヤチマウス
Akodon urichi	ウリチヤチマウス
Auliscomys pictus	アンデスイワオオミミマウス
Calomys lepidus	チリヨルマウス
Chelemys macronyx	コツメオオアシマウス
Geoxus valdivianus	コバオオアシマウス
Irenomys tarsalis	チリネズミ
Lenoxus apicalis	ペルーネズミ
Nectomys squamipes	ミズコメネズミ
Notiomys edwardsii	コミミオオアシマウス
Oxymycterus delator	パラグアイモグリマウス
Oxymycterus paramensis	パラモモグリマウス
Rhipidomys leucodactylus	シロユビヒメキノボリネズミ
Thomasomys aureus	キンイロパラモネズミ
Dactylomys boliviensis	コロコロトゲネズミ
Dactylomys dactylinus	アマゾンコロコロトゲネズミ
Echimys chrysurus	ギアナキノボリトゲネズミ
Mesomys hispidus	アラゲモリトゲネズミ
Mesomys stimulax	スリナムモリトゲネズミ
Microtus rossiaemeridionalis	ロシアハタネズミ
Bolomys lasiurus	ブラジルノロマウス
Nannospalax ehrenbergi	シリアヒメメクラネズミ
Nannospalax leucodon	シロハヒメメクラネズミ
Ctenomys porteousi	アルゼンチンツコツコ
Atherurus macrourus	アジアフサオヤマアラシ
Proechimys longicaudatus	オナガギアラトゲネズミ
Ctenomys boliviensis	ボリビアツコツコ
Chinchilla lanigera	チンチラ
Erethizon dorsatum	カナダヤマアラシ
Dasyprocta punctata	マダラアグーチ
Rattus exulans	ナンヨウネズミ
Stochomys longicaudatus	オナガヤリネズミ
Hylomyscus alleni	アレンヤワゲネズミ
Sciurus niger	トウブキツネリス
Spermophilus beecheyi	カリフォルニアジリス
Cavia guianae	ギアナテンジクネズミ
Geomys personatus	テキサスホリネズミ
Orthogeomys cavator	チリキホリネズミ
Orthogeomys cherriei	チェリーホリネズミ
Orthogeomys heterodus	カワリホリネズミ
Orthogeomys hispidus	アラゲホリネズミ
Orthogeomys underwoodi	アンダーウッドホリネズミ
Zygogeomys trichopus	ミチョアカンホリネズミ
Clethrionomys rufocanus	タイリクヤチネズミ
Cricetinae gen. sp.	キヌゲネズミ亜科
Melomys burtoni	バートンメロミス
Melomys cervinipes	シカアシメロミス
Uromys caudimaculatus	オオハダカオネズミ
Oryzomys palustris	サワコメネズミ
Oryzomys ratticeps	ブラジルコメネズミ
Oryzomys subflavus	ウスキコメネズミ
Meriones shawi	エジプトスナネズミ
Acomys wilsoni	ウイルソントゲマウス
Malacothrix typica	オオミミキノボリマウス
Perognathus flavus	キヌポケットマウス
Cavia aperea	パンパステンジクネズミ
Perognathus amplus	アリゾナポケットマウス
Perognathus inornatus	サンウォーキンポケットマウス
Chaetodipus intermedius	イワポケットマウス
Onychomys leucogaster	キタバッタマウス
Perognathus longimembris	ヒメポケットマスス
Perognathus parvus	ネバダポケットマウス
Onychomys torridus	ミナミバッタマウス
Perognathus flavescens	ヘイゲンポケットマウス
Perognathus fasciatus	オリーブポケットマウス
Onychomys arenicola	スナイロバッタマウス
Apodemus agrarius	セスジネズミ
Muscardinus avellanarius	ヨーロッパマヤネ
Ellobius fuscocapillus	ミナミモグラレミング
Ellobius lutescens	キイロモグラレミング
Gerbillus nigeriae	ナイジェリアアレチネズミ
Gerbillus campestris	オオアレチネズミ
Hylomyscus stella	ステラヤワゲネズミ
Mus crociduroides	トガリハツカネズミ
Mus mattheyi	セネガルハツカネズミ
Uranomys ruddi	オオバネズミ
Dasyprocta leporina	ウサギアグーチ
Neotoma albigula	ノドジロウッドラット
Neotoma floridana	フロリダウッドラット
Peromyscus eremicus	サボテンシロアシマウス
Peromyscus gossypinus	ワタシロアシマウス
Peromyscus melanotis	クロミミシロアシマウス
Peromyscus polionotus	ハイイロシロアシマウス
Sigmodon hispidus	アラゲコトンラット
Sigmodon mascotensis	マスコットコトンラット
Peromyscus californicus	カリフォルニアシロアシマウス
Proechimys simonsi	ヘンディートゲネズミ
Spermophilus tridecemlineatus	ジュウサンセンジリス
